raw_state,standard_state,raw_district,standard_district,source,mapping_status,notes
Gujarat,Gujarat,Surat,Surat,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Surendranagar,Surendranagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Ajmer,Ajmer,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Alwar,Alwar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Banswara,Banswara,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Barmer,Barmer,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Bharatpur,Bharatpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Bhilwara,Bhilwara,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Bikaner,Bikaner,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Bundi,Bundi,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Chittorgarh,Chittorgarh,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Churu,Churu,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Dungarpur,Dungarpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Ganganagar,Ganganagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Jaipur,Jaipur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Jaisalmer,Jaisalmer,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Jalore,Jalore,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Jhalawar,Jhalawar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Jhunjhunu,Jhunjhunu,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Jodhpur,Jodhpur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Kota,Kota,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Nagaur,Nagaur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Pali,Pali,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Swami Madhopur,Swami Madhopur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Sikar,Sikar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Sirohi,Sirohi,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Tonk,Tonk,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Rajasthan,Rajasthan,Udaipur,Udaipur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Punjab,Punjab,Gurdaspur,Gurdaspur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
